method,dt,num_steps,force_evals,e_r,e_v,order_p_r,ratio_r,max_de,max_dh,final_dr,final_dtheta
Yoshida 4,60.0,93,558,0.8388357813663193,0.0009461443073441573,0.0,1.0,4.783569841941212e-10,4.1994011198379196e-16,4.833625462197233e-05,0.00012375609662740317
Yoshida 4,30.0,186,1116,0.05235437429369066,5.921045734083004e-05,4.002006415487367,16.02226734027474,1.8699134226871493e-12,1.3998003732793065e-15,3.896639100275934e-08,7.72400650461691e-06
Yoshida 4,15.0,371,2226,0.0032714685015577598,3.6998913586282652e-06,4.000299796441162,16.003325194407747,1.2324319534381575e-14,3.639480970526197e-15,2.472916094120592e-09,4.826500994425942e-07
Yoshida 4,7.5,741,4446,0.0002044555838535389,2.3123483374389493e-07,4.000079010443962,16.000876277858303,5.558026456681887e-15,2.799600746558613e-15,1.0550138540565968e-10,3.0163985087483525e-08
Yoshida 4,3.75,1481,8886,1.2778079408622027e-05,1.4456068125233847e-08,4.000044549185421,16.00049407390458,2.3802852434050687e-14,1.1898303172874105e-14,1.3642420526593924e-10,1.8851977756639826e-09
Yoshida 4,1.875,2962,17772,7.982788015371497e-07,9.032114933121572e-10,4.000634499573798,16.0070383730807,1.606994605953676e-14,8.118842165019978e-15,3.456079866737127e-11,1.1783107822793681e-10
