dt_s,checkpoint_T,time_s,position_error_km,velocity_error_km_s,energy_error,angular_momentum_error,delta_r_km,delta_theta_rad,e_R_km,e_T_km,fraction_R,fraction_T,dominance_ratio,dominant_mode
7.5,20.0,111075.0,0.0001992742611331091,2.2545180113630755e-07,-1.5354483062567278e-10,-7.677233143257823e-11,-1.0407293302705511e-06,2.9399217282843892e-08,-1.0407315512519769e-06,0.00019927154344759007,2.7275644850215098e-05,0.9999727243551495,191.47256870215074,phase
7.5,50.0,277680.0,0.0008660140523505029,9.797753707840335e-07,-3.838663054973555e-10,-1.9193320824208014e-10,-2.601878804853186e-06,1.2776439461958944e-07,-2.6019345953447245e-06,0.0008660101435923837,9.026988159003469e-06,0.999990973011841,332.8331715723423,phase
7.5,100.0,555362.4318623783,0.0029581624175165715,3.346760962000477e-06,-7.677372024078709e-10,-3.8386851618472017e-10,-5.20378216606332e-06,4.364239885035204e-07,-5.2044279072899565e-06,0.0029581578393212296,3.0952944113305122e-06,0.9999969047055887,568.392509612377,phase
3.75,1.0,5553.75,3.239208957637921e-07,3.6649809809559204e-10,-2.44553164094003e-13,-1.223425526246114e-13,-1.6507328837178648e-09,4.780797979719864e-11,-1.6510588603917763e-09,3.2391668792616563e-07,2.5980480733965685e-05,0.999974019519266,196.18724425687896,phase
3.75,5.0,27768.75,1.7736927371485891e-06,2.006723111656636e-09,-1.206333394424173e-12,-6.030340008087252e-13,-8.204551704693586e-09,2.617355221445905e-10,-8.204104953639636e-09,1.7736737632596258e-06,2.1394672346770447e-05,0.999978605327653,216.19345111775544,phase
3.75,10.0,55537.5,3.929571039920439e-06,4.445802625174304e-09,-2.394301136208875e-12,-1.197249259265791e-12,-1.628086465643719e-08,5.796607638330897e-10,-1.628134188112283e-08,3.929537310636959e-06,1.71668298548347e-05,0.9999828331701449,241.35217719326963,phase
3.75,20.0,111071.25,9.392585915966851e-06,1.062631966146356e-08,-4.7934353389018215e-12,-2.396738199128829e-12,-3.2433490559924394e-08,1.3856151781510562e-09,-3.24340493932443e-08,9.392529915909709e-06,1.1924275317699162e-05,0.9999880757246826,289.5885679284339,phase
3.75,50.0,277680.0,3.497016477529731e-05,3.956385432614204e-08,-1.1996516800099445e-11,-5.9984245595764844e-12,-8.110873750410974e-08,5.140009307069704e-09,-8.110905328826163e-08,3.4970070713867866e-05,5.379517285127107e-06,0.9999946204827145,431.1487965416661,phase
3.75,100.0,555362.4318623783,0.00010829734016622511,1.2252365443252018e-07,-2.398965045366004e-11,-1.1994889398630378e-11,-1.6246485756710172e-07,1.6073840924946126e-08,-1.6246576706137801e-07,0.00010829721830201184,2.2505473268345157e-06,0.9999977494526733,666.584845908481,phase
1.875,1.0,5553.75,1.9974699875924535e-08,2.2575250604327353e-11,-9.666132968142412e-16,-5.599201493117226e-16,-4.638422979041934e-11,2.937206033948314e-12,-4.6272485125749656e-11,1.9974646279480895e-08,5.366425735403705e-06,0.9999946335742648,431.67437895755955,phase
1.875,5.0,27768.75,1.0205260797121584e-07,1.1547357866838798e-10,-3.177741213276818e-14,-1.5957724255384096e-14,-2.5283952709287405e-10,1.354649725726631e-11,-2.5304421867310445e-10,1.0205229425324088e-07,6.148152389098886e-06,0.9999938518476108,403.2982645814852,phase
1.875,10.0,55535.625,2.1272368428679862e-07,2.4075864455285177e-10,-5.086802474484944e-14,-2.547636679368338e-14,-3.319655661471188e-10,1.0167866548727034e-11,-3.3249575990888965e-10,2.1272342443445015e-07,2.4430959875963335e-06,0.9999975569040126,639.777856092783,phase
1.875,20.0,111073.125,4.638924962779913e-07,5.2493677120578e-10,-1.2396815531642643e-13,-6.201115653627328e-14,-8.776623872108757e-10,2.099653784171096e-10,-8.78094312947598e-10,4.6389166521226017e-07,3.5830068099596734e-06,0.9999964169931898,528.2936677440294,phase
1.875,50.0,277681.875,1.5515636132733775e-06,1.755310357469574e-09,-3.754084391502309e-13,-1.8771323005675502e-13,-2.5511326384730637e-09,4.18367562815547e-11,-2.5510912470256026e-09,1.5515615160113336e-06,2.703415584592191e-06,0.9999972965844152,608.1952254041669,phase
1.875,100.0,555362.4318623783,4.268087550556335e-06,4.828748603459058e-09,-7.238725326517649e-13,-3.619883765300287e-13,-4.571120371110737e-09,-3.1946001399774104e-11,-4.571120371093969e-09,4.2680851027214216e-06,1.1470402996226983e-06,0.9999988529597001,933.7065656181737,phase
