method,dt,orbit_count,time,e_r,e_v,e_R,e_T,Δr,Δθ,ρ_R,ρ_T,χ,δε,δh
Euler,60.0,1.0,5580.0,16076.514461542289,11.360331919852314,-11814.32693425596,-10903.02693396162,5231.82575500443,-2.0035082929198076,0.5400502588010471,0.4599497411989531,0.9228648398367917,0.36441739711099025,0.23925413313676433
Euler,60.0,5.0,27780.0,8437.601721155426,2.6609999720631716,8416.872143577813,591.0889302878674,8428.364537070327,-18.810675322995777,0.9950924175012442,0.0049075824987561585,0.07022667330629183,0.5804891654904071,0.5257230534472497
Euler,60.0,10.0,55560.0,12177.480256625186,5.10179548269836,7156.2657914804395,9852.86178336949,10287.807640640345,-43.36682935092942,0.3453488836563255,0.6546511163436743,1.3768160756548977,0.6696189424745334,0.7050629528999054
Euler,60.0,20.0,111060.0,36268.20698613526,9.5221231362279,-19934.462322452004,-30298.515638623157,26253.498531624584,-96.22823289810233,0.3021042821972232,0.697895717802777,1.519906338506969,0.7455867144097376,0.9149710059621547
Euler,60.0,50.0,277680.0,51019.15331090583,9.448353516829764,-30672.948593867008,-40769.15781715027,40477.40500542097,-265.9947155895376,0.3614469459672321,0.6385530540327677,1.3291567875317334,0.8168699618310806,1.2137389137476158
Euler,60.0,100.0,555362.4318623783,61782.183671176346,7.185634506071943,4585.694713162852,-61611.76529833112,55872.850976102374,-560.5918959462795,0.0055091394937232,0.9944908605062766,13.435644793684087,0.8566447135311959,1.454300537128039
Euler,30.0,1.0,5550.0,10232.369198419281,8.728306852401708,-4484.139482634473,-9197.492729708367,2701.1191481752076,-1.3263678293481593,0.19204624631020784,0.8079537536897919,2.051116555434345,0.24211249145852726,0.14652175874186704
Euler,30.0,5.0,27780.0,18366.423742531933,11.063350622957202,-13125.259968140785,-12847.298231883691,7551.51902628556,-14.596037929727036,0.5107009059809413,0.4892990940190592,0.9788223824189544,0.4911914470948705,0.3961613340668078
Euler,30.0,10.0,55530.0,14552.912751406302,8.147273682190608,-2852.100019209373,14270.697075842863,8022.760317561718,-36.39678565212675,0.038408703869955575,0.9615912961300445,5.003575253226507,0.5852189309738062,0.5457911060728579
Euler,30.0,20.0,111060.0,26796.610323905497,12.071322256637467,-26629.40406126435,2988.8399410400584,13296.871546219732,-84.97244086075315,0.9875592777299712,0.012440722270028744,0.11223833376683345,0.6701311838561296,0.7277776517658372
Euler,30.0,50.0,277680.0,25822.47690576109,5.578980907235803,13171.764084850933,-22210.469253070627,23076.56945872996,-245.8831921675668,0.2601908931081101,0.7398091068918896,1.6862182703845463,0.753575079406827,0.9954640179997065
Euler,30.0,100.0,555362.4318623783,32930.88411195755,5.382093176238549,21011.730931490303,-25356.464494440705,30841.366602619546,-528.5272090673159,0.40711479023403746,0.5928852097659627,1.2067765657725487,0.8050438164582442,1.2341574564980657
Euler,15.0,1.0,5550.0,5932.931677187319,5.695305607243251,-1081.5817724026376,-5833.511734433993,1375.4266758932554,-0.7972758104820263,0.0332338017661134,0.9667661982338863,5.393500411416297,0.15177191165260442,0.08555863027019488
