dt_s,checkpoint_T,time_s,position_error_km,velocity_error_km_s,energy_error,angular_momentum_error
60.0,1.0,5580.0,16076.514461542289,11.360331919852314,0.36441739711099025,0.23925413313676433
60.0,5.0,27780.0,8437.601721155426,2.6609999720631716,0.5804891654904071,0.5257230534472497
60.0,10.0,55560.0,12177.480256625186,5.10179548269836,0.6696189424745334,0.7050629528999054
60.0,20.0,111060.0,36268.20698613526,9.5221231362279,0.7455867144097376,0.9149710059621547
60.0,50.0,277680.0,51019.15331090583,9.448353516829764,0.8168699618310806,1.2137389137476158
60.0,100.0,555362.4318623783,61782.183671176346,7.185634506071943,0.8566447135311959,1.454300537128039
30.0,1.0,5550.0,10232.369198419281,8.728306852401708,0.24211249145852726,0.14652175874186704
30.0,5.0,27780.0,18366.423742531933,11.063350622957202,0.4911914470948705,0.3961613340668078
30.0,10.0,55530.0,14552.912751406302,8.147273682190608,0.5852189309738062,0.5457911060728579
30.0,20.0,111060.0,26796.610323905497,12.071322256637467,0.6701311838561296,0.7277776517658372
30.0,50.0,277680.0,25822.47690576109,5.578980907235803,0.753575079406827,0.9954640179997065
30.0,100.0,555362.4318623783,32930.88411195755,5.382093176238549,0.8050438164582442,1.2341574564980657
15.0,1.0,5550.0,5932.931677187319,5.695305607243251,0.15177191165260442,0.08555863027019488
15.0,5.0,27765.0,13541.94718054925,10.639508042986863,0.3814048317024035,0.27038090329933084
15.0,10.0,55530.0,18362.81032248795,12.279014821964022,0.4884001605299933,0.39638688221497903
15.0,20.0,111075.0,22978.328525759116,12.601024067993238,0.5845864119752014,0.5491190579936542
15.0,50.0,277680.0,22491.361356791353,7.755996894171567,0.6888265729706301,0.7894679957587203
15.0,100.0,555362.4318623783,20598.175168966874,3.8580957715109507,0.7517763071502991,1.0024064803523083
7.5,1.0,5550.0,3210.4305262109488,3.3011909308844767,0.08822759897624263,0.04724659056057725
7.5,5.0,27765.0,8765.126966873817,7.433514593526845,0.27273653682488097,0.1724911250752256
7.5,10.0,55537.5,17478.701521918938,13.433667311799486,0.38075212436564615,0.2704066425434607
7.5,20.0,111075.0,15171.833800400202,9.440951506326309,0.486961652205745,0.3958068143954271
7.5,50.0,277680.0,24234.586241994904,12.420021129405908,0.6114077055294427,0.6035111170526531
7.5,100.0,555362.4318623783,26967.083938011136,10.793623985793904,0.6884666354449356,0.7907214279016344
3.75,1.0,5553.75,1672.9633292675016,1.7867508464231796,0.048235719206473675,0.025025637444736095
3.75,5.0,27768.75,11314.477022539906,11.036849686003407,0.17802977693759828,0.10294301372820043
3.75,10.0,55537.5,14282.779265972567,12.509209395721102,0.27286644199595095,0.17264863509502565
3.75,20.0,111071.25,7338.754657475217,5.123035023806408,0.38012166496611793,0.27009394263930486
3.75,50.0,277680.0,7321.835548064194,2.352300962618354,0.5191757804979947,0.4420809724768812
3.75,100.0,555362.4318623783,10859.659079264893,3.1939855365781735,0.6110448964170407,0.6033265085860688
1.875,1.0,5553.75,853.3673532054086,0.9299396647369803,0.025316354986896206,0.01290361641419219
1.875,5.0,27768.75,13900.908111258248,14.425137505204953,0.1061501328499331,0.05769399032653044
1.875,10.0,55535.625,14896.839111755167,14.488379008116643,0.1779547515696452,0.10292077032219654
1.875,20.0,111073.125,13434.784310077366,11.841430896636854,0.2727447557116483,0.1726025338523865
1.875,50.0,277681.875,7209.343599363407,4.407556906881265,0.41513453658221366,0.30758240522607994
1.875,100.0,555362.4318623783,7319.219957599451,2.3545404199746054,0.5191936756097105,0.44215059910896826
